model,lambda,mu,servers,rho,stable,L,Lq,W,Wq,P0,Pwait,N,M,R
M/M/1,2.0,1.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,100,50,1
M/M/S,2.0,1.0,1,2.0,False,inf,inf,inf,inf,0.0,1.0,100,50,1
M/M/S,2.0,1.0,2,1.0,False,inf,inf,inf,inf,0.0,1.0,100,50,1
M/M/S,2.0,1.0,4,0.5,True,2.1739130434782608,0.17391304347826086,1.0869565217391304,0.08695652173913043,0.13043478260869565,0.17391304347826086,100,50,1
M/M/S,2.0,1.0,8,0.25,True,2.000381879803332,0.00038187980333190133,1.000190939901666,0.00019093990166595067,0.13532865530574253,0.001145639409995704,100,50,1
M/M/1,2.0,5.0,1,0.4,True,0.6666666666666667,0.2666666666666667,0.3333333333333333,0.13333333333333333,0.6,0.4,100,50,5
M/M/S,2.0,5.0,1,0.4,True,0.6666666666666667,0.2666666666666667,0.3333333333333333,0.13333333333333333,0.6,0.4,100,50,5
M/M/S,2.0,5.0,2,0.2,True,0.4166666666666667,0.01666666666666667,0.20833333333333334,0.008333333333333335,0.6666666666666666,0.06666666666666668,100,50,5
M/M/S,2.0,5.0,4,0.1,True,0.40008827099194527,8.827099194527201e-05,0.20004413549597264,4.4135495972636005e-05,0.6703078450844091,0.000794438927507448,100,50,5
M/M/S,2.0,5.0,8,0.05,True,0.4000000006036211,6.036210940448153e-10,0.20000000030181056,3.0181054702240765e-10,0.6703200459893177,1.146880078685149e-08,100,50,5
M/M/1,2.0,10.0,1,0.2,True,0.25,0.05000000000000001,0.125,0.025,0.8,0.2,100,50,10
M/M/S,2.0,10.0,1,0.2,True,0.25,0.05000000000000001,0.125,0.025,0.8,0.2,100,50,10
M/M/S,2.0,10.0,2,0.1,True,0.20202020202020204,0.002020202020202021,0.10101010101010102,0.0010101010101010105,0.8181818181818182,0.018181818181818188,100,50,10
M/M/S,2.0,10.0,4,0.05,True,0.2000030239344411,3.023934441101318e-06,0.10000151196722055,1.511967220550659e-06,0.8187302499281814,5.745475438092503e-05,100,50,10
M/M/S,2.0,10.0,8,0.025,True,0.20000000000136708,1.367071793749486e-12,0.10000000000068354,6.83535896874743e-13,0.8187307530778556,5.3315799956229947e-11,100,50,10
M/M/1,1.0,1.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,100,100,1
M/M/S,1.0,1.0,1,1.0,False,inf,inf,inf,inf,0.0,1.0,100,100,1
M/M/S,1.0,1.0,2,0.5,True,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,100,100,1
M/M/S,1.0,1.0,4,0.25,True,1.0068027210884354,0.006802721088435374,1.0068027210884354,0.006802721088435374,0.3673469387755102,0.02040816326530612,100,100,1
M/M/S,1.0,1.0,8,0.125,True,1.0000014896314204,1.4896314204976263e-06,1.0000014896314204,1.4896314204976263e-06,0.3678793756060938,1.0427419943483384e-05,100,100,1
M/M/1,1.0,5.0,1,0.2,True,0.25,0.05000000000000001,0.25,0.05,0.8,0.2,100,100,5
M/M/S,1.0,5.0,1,0.2,True,0.25,0.05000000000000001,0.25,0.05,0.8,0.2,100,100,5
M/M/S,1.0,5.0,2,0.1,True,0.20202020202020204,0.002020202020202021,0.20202020202020204,0.002020202020202021,0.8181818181818182,0.018181818181818188,100,100,5
M/M/S,1.0,5.0,4,0.05,True,0.2000030239344411,3.023934441101318e-06,0.2000030239344411,3.023934441101318e-06,0.8187302499281814,5.745475438092503e-05,100,100,5
