cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,test,rep_idx
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 1 --deadlock-window-ms 2000,0,9.38,0.0,0.06,0.0,1520,168,0,492,5,0,0,0,2026-05-15T11:54:30,c-pthreads-naive,10,10.0,0,0,50,200,9374.247,106,"[2, 0, 27, 0, 14, 0, 4, 5, 54, 0]",61729.206,0.583,1.375,3.0,6543222.527,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 2 --deadlock-window-ms 2000,0,6.94,0.01,0.04,0.0,1644,170,0,339,4,0,0,0,2026-05-15T11:54:37,c-pthreads-naive,10,10.0,0,0,50,200,6942.062,70,"[19, 0, 40, 0, 0, 6, 0, 5, 0, 0]",0.825,0.792,1.416,2.333,2.333,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 3 --deadlock-window-ms 2000,0,10.04,0.02,0.14,1.0,1508,170,0,986,3,0,0,0,2026-05-15T11:54:47,c-pthreads-naive,10,10.0,0,0,50,200,10041.566,383,"[77, 0, 80, 0, 80, 0, 71, 0, 75, 0]",0.548,0.459,1.084,1.417,1.625,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 4 --deadlock-window-ms 2000,0,10.11,0.01,0.11,1.0,1436,172,0,1008,5,0,0,0,2026-05-15T11:54:57,c-pthreads-naive,10,10.0,0,0,50,200,10113.238,318,"[79, 0, 0, 81, 0, 81, 0, 75, 0, 2]",30334.461,0.584,1.417,1.75,9646130.873,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 5 --deadlock-window-ms 2000,0,10.11,0.02,0.08,1.0,1520,168,0,817,3,0,0,0,2026-05-15T11:55:08,c-pthreads-naive,10,10.0,0,0,50,200,10104.933,278,"[60, 0, 62, 0, 81, 0, 33, 0, 42, 0]",1.279,0.708,1.417,2.083,140.876,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 6 --deadlock-window-ms 2000,0,10.14,0.0,0.09,1.0,1520,168,0,556,8,0,0,0,2026-05-15T11:55:18,c-pthreads-naive,10,10.0,0,0,50,200,10136.481,114,"[46, 0, 0, 0, 4, 0, 0, 26, 17, 21]",115394.87,0.708,1.416,5316221.677,7838700.007,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 7 --deadlock-window-ms 2000,0,10.11,0.01,0.08,0.0,1520,168,0,674,4,0,0,0,2026-05-15T11:55:28,c-pthreads-naive,10,10.0,0,0,50,200,10113.122,195,"[11, 0, 39, 0, 56, 0, 78, 0, 11, 0]",1.027,0.875,1.667,6.208,13.916,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 8 --deadlock-window-ms 2000,0,5.15,0.0,0.03,0.0,1520,169,0,289,4,0,0,0,2026-05-15T11:55:33,c-pthreads-naive,10,10.0,0,0,50,200,5150.502,71,"[0, 7, 0, 23, 0, 15, 0, 26, 0, 0]",0.839,0.667,1.458,1.583,1.583,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 9 --deadlock-window-ms 2000,0,10.1,0.01,0.09,0.0,1520,169,0,725,3,0,0,0,2026-05-15T11:55:43,c-pthreads-naive,10,10.0,0,0,50,200,10097.733,196,"[64, 10, 65, 0, 9, 0, 48, 0, 0, 0]",44049.211,0.833,1.542,117.125,8633359.228,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 10 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 10 --deadlock-window-ms 2000,0,9.1,0.01,0.04,0.0,1520,170,0,504,7,0,0,0,2026-05-15T11:55:52,c-pthreads-naive,10,10.0,0,0,50,200,9095.581,112,"[10, 0, 32, 0, 0, 18, 0, 52, 0, 0]",0.697,0.625,1.375,1.583,1.708,True,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 1 --deadlock-window-ms 2000,0,10.1,0.02,0.1,1.0,1648,199,0,1083,10,0,0,0,2026-05-15T11:56:02,c-pthreads-naive,20,10.0,0,0,50,200,10103.921,352,"[19, 0, 0, 5, 0, 59, 0, 51, 0, 0, 53, 0, 78, 0, 85, 0, 2, 0, 0, 0]",0.813,0.708,1.625,1.792,2.333,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 2 --deadlock-window-ms 2000,0,10.1,0.02,0.1,1.0,1648,200,0,1014,13,0,0,0,2026-05-15T11:56:13,c-pthreads-naive,20,10.0,0,0,50,200,10102.158,297,"[37, 0, 13, 0, 15, 0, 19, 0, 0, 46, 4, 9, 0, 7, 21, 58, 0, 0, 68, 0]",33315.231,0.667,1.459,906132.999,7547399.689,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 3 --deadlock-window-ms 2000,0,10.02,0.0,0.16,1.0,1632,203,0,1195,7,0,0,0,2026-05-15T11:56:23,c-pthreads-naive,20,10.0,0,0,50,200,10012.917,431,"[23, 0, 12, 0, 30, 0, 81, 0, 57, 0, 78, 0, 85, 0, 44, 0, 6, 0, 12, 3]",6162.187,0.708,1.375,1.708,2655147.522,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 4 --deadlock-window-ms 2000,0,10.12,0.0,0.07,0.0,1632,199,0,627,7,0,0,0,2026-05-15T11:56:33,c-pthreads-naive,20,10.0,0,0,50,200,10121.016,148,"[5, 0, 1, 0, 0, 20, 0, 3, 0, 0, 1, 0, 0, 15, 0, 24, 0, 79, 0, 0]",0.815,0.708,1.459,1.917,2.167,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 5 --deadlock-window-ms 2000,0,10.12,0.03,0.16,1.0,1648,203,0,1815,11,0,0,0,2026-05-15T11:56:43,c-pthreads-naive,20,10.0,0,0,50,200,10119.001,721,"[81, 0, 82, 0, 82, 0, 0, 71, 0, 78, 0, 0, 79, 0, 84, 0, 83, 0, 81, 0]",0.87,0.667,1.416,1.75,74.458,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 6 --deadlock-window-ms 2000,0,10.02,0.01,0.09,1.0,1648,201,0,783,7,0,0,0,2026-05-15T11:56:53,c-pthreads-naive,20,10.0,0,0,50,200,10021.344,209,"[11, 0, 22, 0, 20, 0, 0, 17, 0, 0, 18, 16, 22, 0, 20, 0, 38, 25, 0, 0]",28865.251,0.667,1.417,1.958,3144671.173,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 7 --deadlock-window-ms 2000,0,10.1,0.08,0.38,4.0,1648,200,0,1119,14,0,0,0,2026-05-15T11:57:03,c-pthreads-naive,20,10.0,0,0,50,200,10082.02,360,"[17, 0, 32, 2, 71, 0, 76, 0, 0, 42, 18, 57, 0, 3, 0, 28, 0, 0, 14, 0]",47457.969,0.583,1.375,28.333,9704226.256,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 8 --deadlock-window-ms 2000,0,10.17,0.02,0.14,1.0,1776,200,0,1067,11,0,0,0,2026-05-15T11:57:13,c-pthreads-naive,20,10.0,0,0,50,200,10153.069,322,"[37, 0, 21, 4, 68, 0, 45, 0, 0, 4, 4, 70, 1, 18, 0, 44, 0, 6, 0, 0]",70054.2,0.708,1.375,1066913.363,9631960.352,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 9 --deadlock-window-ms 2000,0,10.11,0.02,0.14,1.0,1648,202,0,1452,6,0,0,0,2026-05-15T11:57:23,c-pthreads-naive,20,10.0,0,0,50,200,10102.973,557,"[82, 0, 75, 0, 1, 0, 44, 0, 70, 0, 44, 0, 42, 0, 41, 0, 78, 0, 80, 0]",0.733,0.667,1.125,1.458,15.25,False,dp-deadlock,0
/home/vboxuser/os-final-project/paper2-concurrency/dp/pthreads/dphil_2 --N 20 --duration-sec 10 --think-min-ms 0 --think-max-ms 0 --eat-min-ms 50 --eat-max-ms 200 --seed 10 --deadlock-window-ms 2000,0,10.06,0.02,0.21,2.0,1504,200,0,1185,8,0,0,0,2026-05-15T11:57:33,c-pthreads-naive,20,10.0,0,0,50,200,10027.678,389,"[22, 0, 71, 0, 9, 0, 22, 0, 12, 14, 36, 8, 13, 0, 52, 0, 48, 0, 82, 0]",21094.4,0.5,1.001,1.416,5374567.04,False,dp-deadlock,0
