cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,M,K,items_per_producer,producer_delay_us,consumer_delay_us,wall_time_ms,items_consumed,throughput_per_sec,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.91,0.16,0.26,47.0,43088,5696,0,20277,2,0,64,0,2026-05-14T10:16:17,java-monitor,1,1,1,10000,0,0,870.924,10000,11482.05,128.46,120.543,161.377,208.044,3725.321,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.88,0.14,0.26,46.0,43152,5710,0,20250,7,0,64,0,2026-05-14T10:16:18,java-monitor,1,1,1,10000,0,0,845.644,10000,11825.31,126.207,118.167,163.168,204.21,1895.64,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.87,0.15,0.26,47.0,43088,5698,0,20245,1,0,64,0,2026-05-14T10:16:19,java-monitor,1,1,1,10000,0,0,837.544,10000,11939.67,124.556,118.043,157.335,194.21,1677.055,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,0.92,0.16,0.26,46.0,43136,5703,0,20313,8,0,64,0,2026-05-14T10:16:20,java-monitor,1,1,2,10000,0,0,886.446,10000,11281.0,131.293,122.543,170.252,207.96,1857.973,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,0.89,0.17,0.24,46.0,43280,5747,0,20301,7,0,64,0,2026-05-14T10:16:21,java-monitor,1,1,2,10000,0,0,854.595,10000,11701.45,126.504,120.292,157.209,186.002,2069.308,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.93,0.19,0.24,46.0,43216,5706,0,20284,4,0,64,0,2026-05-14T10:16:22,java-monitor,1,1,2,10000,0,0,901.701,10000,11090.15,133.689,123.834,175.794,223.543,1600.388,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,1.09,0.21,0.33,49.0,43472,5785,0,20387,9,0,64,0,2026-05-14T10:16:23,java-monitor,1,1,4,10000,0,0,1050.95,10000,9515.2,154.613,132.251,211.668,341.086,18420.147,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,1.1,0.19,0.33,48.0,43536,5777,0,22597,5,0,64,0,2026-05-14T10:16:24,java-monitor,1,1,4,10000,0,0,1059.975,10000,9434.19,151.694,138.21,233.293,356.503,2224.934,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,0.93,0.19,0.25,47.0,43456,5796,0,20328,6,0,64,0,2026-05-14T10:16:25,java-monitor,1,1,4,10000,0,0,898.69,10000,11127.3,133.331,123.709,176.834,227.544,2214.018,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,2.37,0.32,0.72,44.0,44808,6329,0,50291,5,0,64,0,2026-05-14T10:16:27,java-monitor,1,1,8,10000,0,0,2336.889,10000,4279.19,279.44,277.835,418.836,499.254,5920.548,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,1.56,0.25,0.46,46.0,44808,6261,0,31882,4,0,64,0,2026-05-14T10:16:29,java-monitor,1,1,8,10000,0,0,1528.055,10000,6544.27,198.543,149.334,382.004,506.921,4561.828,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 1 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,1.41,0.25,0.4,46.0,44496,6183,0,29156,10,0,64,0,2026-05-14T10:16:30,java-monitor,1,1,8,10000,0,0,1338.741,10000,7469.71,178.682,142.584,370.753,447.962,2708.105,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,1.86,0.28,0.55,44.0,44404,4634,0,40234,4,0,64,0,2026-05-14T10:16:32,java-monitor,1,2,1,10000,0,0,1815.807,20000,11014.39,212.02,125.376,180.793,229.252,460054.021,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,2.1,0.32,0.65,46.0,45664,6490,0,40175,9,0,64,0,2026-05-14T10:16:34,java-monitor,1,2,1,10000,0,0,2046.432,20000,9773.11,232.335,132.335,223.336,436.545,171390.851,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,2.03,0.35,0.57,45.0,45020,7162,0,40219,5,0,64,0,2026-05-14T10:16:36,java-monitor,1,2,1,10000,0,0,1979.341,20000,10104.37,213.653,136.584,205.002,291.753,192080.689,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,2.58,0.52,0.79,51.0,44856,6255,0,44056,10,0,64,0,2026-05-14T10:16:39,java-monitor,1,2,2,10000,0,0,2525.186,20000,7920.21,306.528,145.876,501.462,1334.719,114750.728,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,2.01,0.32,0.61,46.0,44796,6378,0,40415,10,0,64,0,2026-05-14T10:16:41,java-monitor,1,2,2,10000,0,0,1954.357,20000,10233.54,224.454,134.335,202.835,335.961,243529.744,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 2 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,1.98,0.31,0.61,46.0,45676,7185,0,40190,6,0,64,0,2026-05-14T10:16:43,java-monitor,1,2,2,10000,0,0,1943.38,20000,10291.35,225.518,132.71,203.96,292.169,206637.821,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,2.36,0.3,0.76,45.0,44984,6269,0,49423,10,0,64,0,2026-05-14T10:16:45,java-monitor,1,2,4,10000,0,0,2318.887,20000,8624.83,263.757,134.085,693.547,815.673,127389.257,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,2.32,0.36,0.66,44.0,44740,6316,0,49873,4,0,64,0,2026-05-14T10:16:48,java-monitor,1,2,4,10000,0,0,2280.081,20000,8771.62,265.293,133.376,616.006,819.715,121917.464,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 4 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,1.89,0.31,0.54,45.0,45640,7069,0,40503,4,0,64,0,2026-05-14T10:16:50,java-monitor,1,2,4,10000,0,0,1853.229,20000,10791.98,200.13,127.168,189.043,259.753,157900.055,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,2.07,0.31,0.62,45.0,46672,6629,0,45468,7,0,64,0,2026-05-14T10:16:52,java-monitor,1,2,8,10000,0,0,2036.648,20000,9820.06,198.26,125.709,277.586,759.006,57360.016,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,3.06,0.4,0.91,42.0,46284,6779,0,69817,8,0,64,0,2026-05-14T10:16:55,java-monitor,1,2,8,10000,0,0,3019.972,20000,6622.58,298.582,194.877,588.297,680.797,132888.854,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 2 --K 8 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,2,2.8,0.4,0.82,43.0,46600,7372,0,61367,10,0,64,0,2026-05-14T10:16:58,java-monitor,1,2,8,10000,0,0,2754.626,20000,7260.51,294.565,161.543,658.422,792.965,73112.401,2
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 4 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,0,3.91,0.52,1.21,44.0,46824,7107,0,80305,10,0,64,0,2026-05-14T10:17:01,java-monitor,1,4,1,10000,0,0,3853.195,40000,10380.99,325.323,130.751,204.918,340.669,723193.282,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/pc/java ProducerConsumer --N 1 --M 4 --K 1 --items 10000 --producer-delay-us 0 --consumer-delay-us 0,1,3.9,0.56,1.15,43.0,47488,7276,0,80348,9,0,64,0,2026-05-14T10:17:05,java-monitor,1,4,1,10000,0,0,3848.163,40000,10394.57,333.147,133.21,205.376,285.336,1457765.333,1
