cmd,rep,wall_time_s,user_time_s,sys_time_s,cpu_pct,max_rss_kb,minor_faults,major_faults,voluntary_ctx,involuntary_ctx,fs_inputs,fs_outputs,exit_code,timestamp,impl,N,duration_sec,think_min_ms,think_max_ms,eat_min_ms,eat_max_ms,wall_time_ms,total_meals,meals_per_phil,wait_mean_us,wait_p50_us,wait_p95_us,wait_p99_us,wait_max_us,deadlocked,seed,rep_idx
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,0,5.08,0.33,0.13,9.0,45072,6152,0,2190,25,0,64,0,2026-05-14T10:26:59,java-monitor,10,5.0,10,50,10,50,5016.873,599,"[66, 62, 58, 59, 60, 56, 61, 60, 58, 59]",21434.05,17166.398,60239.561,97261.381,109159.483,False,3,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 10 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,1,5.08,0.34,0.12,9.0,44880,6152,0,2228,19,0,64,0,2026-05-14T10:27:05,java-monitor,10,5.0,10,50,10,50,5017.61,595,"[62, 62, 57, 54, 62, 60, 58, 62, 60, 58]",21654.85,18326.033,57817.833,94316.106,126969.513,False,3,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.08,0.51,0.27,15.0,46124,6487,0,3944,24,0,64,0,2026-05-14T10:27:10,java-monitor,20,5.0,10,50,10,50,5022.977,1197,"[57, 59, 61, 61, 56, 58, 62, 60, 62, 61, 58, 56, 59, 62, 64, 61, 59, 61, 60, 60]",20938.708,16740.936,57852.209,90884.327,144726.959,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.09,0.39,0.25,12.0,46120,6533,0,3989,34,0,64,0,2026-05-14T10:27:15,java-monitor,20,5.0,10,50,10,50,5032.484,1201,"[53, 60, 58, 62, 63, 59, 62, 61, 57, 64, 63, 58, 57, 64, 60, 57, 56, 62, 61, 64]",20862.586,15918.637,62804.335,99852.155,180349.184,False,1,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,0,5.11,0.42,0.3,14.0,45872,6503,0,3965,28,0,64,0,2026-05-14T10:27:20,java-monitor,20,5.0,10,50,10,50,5039.109,1186,"[57, 62, 61, 57, 58, 60, 59, 61, 61, 62, 56, 56, 60, 60, 58, 59, 62, 60, 60, 57]",21070.276,16871.521,59878.935,98351.893,117814.935,False,2,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 2 --deadlock-window-ms 2000,1,5.11,0.47,0.25,14.0,46280,6519,0,3955,36,0,64,0,2026-05-14T10:27:25,java-monitor,20,5.0,10,50,10,50,5033.6,1182,"[58, 62, 60, 60, 56, 59, 61, 60, 62, 57, 55, 58, 61, 61, 57, 58, 62, 58, 62, 55]",21379.111,17048.273,60480.982,107328.763,154348.67,False,2,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,0,5.12,0.42,0.25,13.0,46180,6489,0,3966,27,0,64,0,2026-05-14T10:27:30,java-monitor,20,5.0,10,50,10,50,5025.15,1202,"[60, 63, 60, 56, 58, 64, 62, 61, 60, 55, 59, 61, 61, 61, 58, 61, 62, 61, 59, 60]",20599.272,16064.056,58586.091,92512.219,140138.131,False,3,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 20 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 3 --deadlock-window-ms 2000,1,5.11,0.48,0.27,14.0,46180,6530,0,3915,32,0,64,0,2026-05-14T10:27:35,java-monitor,20,5.0,10,50,10,50,5021.593,1192,"[64, 61, 60, 58, 59, 61, 60, 60, 58, 58, 55, 62, 58, 57, 58, 65, 59, 61, 60, 58]",20844.161,16880.604,58140.837,103292.396,136248.056,False,3,1
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,0,5.19,0.61,0.63,24.0,47376,7500,0,9144,37,0,64,0,2026-05-14T10:27:40,java-monitor,50,5.0,10,50,10,50,5050.031,2942,"[57, 55, 60, 64, 57, 59, 59, 60, 59, 61, 58, 56, 57, 60, 61, 54, 59, 60, 61, 60, 61, 58, 58, 56, 60, 57, 59, 58, 59, 60, 59, 60, 60, 58, 63, 56, 57, 58, 60, 58, 61, 59, 62, 59, 56, 58, 61, 58, 59, 57]",21525.367,17496.485,60425.066,98442.438,145061.009,False,1,0
java -cp /home/vboxuser/os-final-project/paper2-concurrency/dp/java DiningMonitor --N 50 --duration-sec 5 --think-min-ms 10 --think-max-ms 50 --eat-min-ms 10 --eat-max-ms 50 --seed 1 --deadlock-window-ms 2000,1,5.1,0.58,0.55,22.0,47180,7455,0,9170,51,0,64,0,2026-05-14T10:27:45,java-monitor,50,5.0,10,50,10,50,5039.97,2973,"[55, 59, 57, 63, 58, 60, 59, 61, 61, 60, 60, 58, 61, 60, 62, 57, 58, 62, 60, 62, 63, 60, 58, 59, 61, 59, 61, 60, 58, 58, 61, 59, 59, 61, 59, 56, 59, 58, 61, 59, 60, 59, 61, 57, 59, 60, 58, 62, 57, 58]",21281.023,17466.485,59608.559,87945.222,168126.959,False,1,1
